job_id,job_title,company_type,industry,country,city,remote_type,experience_level,min_experience_years,salary_min_usd,salary_max_usd,employment_type,posted_year,company_size,average_salary,salary_range,experience_category,remote_flag,high_salary_job,job_age
NSM43D8W3ZP0,MLOps Engineer,MNC,Education,Germany,Frankfurt,Onsite,Senior,5,153241,172634,Full-time,2026,Medium,162937.5,19393,Experienced,0,1,0
J43D5IQVNB4G,Machine Learning Engineer,MNC,Healthcare,UK,Birmingham,Hybrid,Senior,5,145576,164163,Full-time,2024,Large,154869.5,18587,Experienced,0,1,2
8DZR1YXR2DHY,AI Researcher,Research Lab,Education,Germany,Berlin,Onsite,Senior,5,146046,170507,Full-time,2024,Large,158276.5,24461,Experienced,0,1,2
ZJJEGET1GHR0,Applied Scientist,Research Lab,Healthcare,Germany,Hamburg,Hybrid,Mid,2,91647,111360,Full-time,2022,Small,101503.5,19713,Junior,0,0,4
ATJ9TZE5R5UQ,Data Analyst,MNC,Finance,Germany,Remote,Remote,Mid,2,90841,113273,Full-time,2026,Medium,102057.0,22432,Junior,1,0,0
RUYF38DIUOVW,Applied Scientist,MNC,Retail,USA,Remote,Remote,Mid,2,104884,119507,Full-time,2022,Large,112195.5,14623,Junior,1,1,4
C8D1WJCITFOY,Data Analyst,MNC,Tech,UK,Birmingham,Hybrid,Senior,5,143792,164440,Full-time,2025,Medium,154116.0,20648,Experienced,0,1,1
IJ2V2HEIFJFC,AI Researcher,Research Lab,Education,Australia,Sydney,Hybrid,Senior,5,144728,169390,Full-time,2020,Medium,157059.0,24662,Experienced,0,1,6
7SRCBPLJD84U,Data Scientist,Research Lab,Healthcare,Australia,Brisbane,Hybrid,Mid,2,99441,106318,Full-time,2026,Small,102879.5,6877,Junior,0,0,0
6GVWRDMLY4LY,AI Researcher,Research Lab,Retail,UK,Birmingham,Onsite,Mid,2,103329,129920,Full-time,2024,Small,116624.5,26591,Junior,0,1,2
JE153A5QBSWR,Data Analyst,Startup,Finance,UK,Remote,Remote,Mid,2,94375,122996,Full-time,2021,Medium,108685.5,28621,Junior,1,1,5
BW2ZLAOI4E8X,Machine Learning Engineer,MNC,Healthcare,UK,Manchester,Onsite,Entry,0,58337,88114,Full-time,2022,Medium,73225.5,29777,Junior,0,0,4
TN7S55J2O7S3,AI Researcher,Research Lab,Healthcare,UK,London,Hybrid,Mid,2,103721,124232,Full-time,2024,Large,113976.5,20511,Junior,0,1,2
TMTTQLGZUI1B,MLOps Engineer,MNC,Retail,UK,Remote,Remote,Mid,2,96325,126747,Full-time,2026,Large,111536.0,30422,Junior,1,1,0
SV55PSQ0OXFQ,AI Researcher,MNC,Education,India,Bangalore,Hybrid,Entry,0,61349,78024,Full-time,2025,Small,69686.5,16675,Junior,0,0,1
W5RTWIYKID91,MLOps Engineer,Startup,Retail,Germany,Frankfurt,Onsite,Mid,2,92725,127741,Full-time,2022,Small,110233.0,35016,Junior,0,1,4
MPIOYGGVNYRU,Machine Learning Engineer,MNC,Healthcare,USA,New York,Hybrid,Mid,2,97529,113366,Full-time,2025,Small,105447.5,15837,Junior,0,0,1
FPMVXPJ4HNRI,Applied Scientist,MNC,Education,UK,Birmingham,Hybrid,Senior,5,144847,177913,Full-time,2022,Small,161380.0,33066,Experienced,0,1,4
UY0BVR6K2VMW,Applied Scientist,MNC,Finance,Australia,Melbourne,Hybrid,Entry,0,60293,68183,Full-time,2025,Large,64238.0,7890,Junior,0,0,1
U0DK0GET8T63,AI Researcher,MNC,Healthcare,USA,Seattle,Hybrid,Entry,0,62231,76099,Full-time,2026,Small,69165.0,13868,Junior,0,0,0
1IYYO4UDOJEN,MLOps Engineer,Research Lab,Healthcare,UK,Remote,Remote,Entry,0,59577,77485,Full-time,2026,Large,68531.0,17908,Junior,1,0,0
IA5U6HC36KOF,Data Scientist,MNC,Retail,Germany,Remote,Remote,Senior,5,141902,158184,Full-time,2021,Large,150043.0,16282,Experienced,1,1,5
Y08P0FODRO8B,AI Researcher,Startup,Retail,India,Chennai,Hybrid,Mid,2,97285,112736,Full-time,2026,Medium,105010.5,15451,Junior,0,0,0
6XCJ883DHX8B,AI Researcher,Startup,Finance,USA,Austin,Onsite,Senior,5,152893,173500,Full-time,2021,Small,163196.5,20607,Experienced,0,1,5
H5LF6A4FEJGX,Data Scientist,Startup,Tech,Canada,Remote,Remote,Senior,5,145869,162796,Full-time,2024,Medium,154332.5,16927,Experienced,1,1,2
B0S0R2SDS8B2,MLOps Engineer,Research Lab,Healthcare,USA,Remote,Remote,Mid,2,97504,126080,Full-time,2020,Small,111792.0,28576,Junior,1,1,6
DZP6LFEWVZNV,AI Researcher,MNC,Education,UK,Manchester,Hybrid,Senior,5,149919,169096,Full-time,2020,Large,159507.5,19177,Experienced,0,1,6
5P5O3O0LLJ8Y,Data Analyst,Startup,Tech,USA,Boston,Onsite,Senior,5,153627,157797,Full-time,2020,Medium,155712.0,4170,Experienced,0,1,6
UVULEMX15Z8V,AI Researcher,Startup,Education,USA,Austin,Onsite,Entry,0,58313,71971,Full-time,2021,Large,65142.0,13658,Junior,0,0,5
MUEKIPU1WYUV,MLOps Engineer,Research Lab,Healthcare,UK,Remote,Remote,Entry,0,50474,70911,Full-time,2022,Large,60692.5,20437,Junior,1,0,4
GFXC08DTNQFL,AI Researcher,Research Lab,Education,Germany,Hamburg,Hybrid,Entry,0,51391,66723,Full-time,2021,Small,59057.0,15332,Junior,0,0,5
CPPVOHSMDYVS,AI Researcher,Startup,Finance,Canada,Remote,Remote,Senior,5,146475,174638,Full-time,2020,Small,160556.5,28163,Experienced,1,1,6
1KERPETIUYMO,MLOps Engineer,Startup,Retail,India,Hyderabad,Hybrid,Entry,0,50307,80065,Full-time,2020,Medium,65186.0,29758,Junior,0,0,6
ZPEAL2W37D4I,Applied Scientist,MNC,Education,Canada,Montreal,Hybrid,Mid,2,91288,117968,Full-time,2026,Medium,104628.0,26680,Junior,0,0,0
2CWTG1M8XFDJ,Machine Learning Engineer,Research Lab,Finance,Australia,Sydney,Hybrid,Mid,2,102455,129875,Full-time,2025,Small,116165.0,27420,Junior,0,1,1
11Q7UWW5WFCP,AI Researcher,MNC,Education,India,Chennai,Onsite,Mid,2,90920,116532,Full-time,2024,Small,103726.0,25612,Junior,0,0,2
C3C54WSQT26Q,Applied Scientist,Research Lab,Finance,Germany,Frankfurt,Hybrid,Entry,0,55267,84824,Full-time,2023,Large,70045.5,29557,Junior,0,0,3
D6MZSGIPPSFN,AI Researcher,MNC,Retail,India,Remote,Remote,Mid,2,102688,116087,Full-time,2025,Large,109387.5,13399,Junior,1,1,1
LUNJ48VFCX7L,MLOps Engineer,Research Lab,Retail,USA,Austin,Onsite,Entry,0,52112,84498,Full-time,2025,Small,68305.0,32386,Junior,0,0,1
23Y30YSXPNNG,Machine Learning Engineer,MNC,Retail,Germany,Frankfurt,Onsite,Senior,5,143145,162423,Full-time,2021,Small,152784.0,19278,Experienced,0,1,5
145BM1ENF313,Machine Learning Engineer,Research Lab,Retail,USA,New York,Hybrid,Senior,5,140715,168463,Full-time,2022,Large,154589.0,27748,Experienced,0,1,4
V12II826GYUP,AI Researcher,MNC,Education,Australia,Remote,Remote,Mid,2,98641,118718,Full-time,2021,Small,108679.5,20077,Junior,1,1,5
BRN7ZSEDFQS3,Data Scientist,Startup,Retail,Canada,Remote,Remote,Mid,2,104493,116455,Full-time,2020,Medium,110474.0,11962,Junior,1,1,6
I9NB74X2EK3Z,Machine Learning Engineer,Research Lab,Retail,USA,Boston,Hybrid,Mid,2,97349,125163,Full-time,2020,Small,111256.0,27814,Junior,0,1,6
T0SEKKBP2QD6,Applied Scientist,Research Lab,Tech,USA,San Francisco,Hybrid,Entry,0,60353,81887,Full-time,2024,Small,71120.0,21534,Junior,0,0,2
PWIOXD9CSS9T,Data Analyst,MNC,Tech,Australia,Remote,Remote,Mid,2,100414,117677,Full-time,2022,Medium,109045.5,17263,Junior,1,1,4
2M0W10LBT3G2,Data Analyst,Research Lab,Retail,Australia,Remote,Remote,Mid,2,100350,110972,Full-time,2026,Small,105661.0,10622,Junior,1,0,0
KBHB7S9TJ1GM,Data Scientist,Research Lab,Healthcare,USA,Seattle,Onsite,Entry,0,54476,69078,Full-time,2026,Medium,61777.0,14602,Junior,0,0,0
6N9RR7S20CV3,Applied Scientist,MNC,Healthcare,UK,Birmingham,Hybrid,Mid,2,91680,107623,Full-time,2022,Large,99651.5,15943,Junior,0,0,4
ZFPQ06WPX2CY,Data Analyst,MNC,Education,Germany,Frankfurt,Hybrid,Senior,5,153125,179572,Full-time,2025,Small,166348.5,26447,Experienced,0,1,1
YPEIXN8BFQNP,Data Scientist,Research Lab,Finance,USA,Remote,Remote,Senior,5,148674,167024,Full-time,2023,Medium,157849.0,18350,Experienced,1,1,3
AGS6E1ZHWY9H,Machine Learning Engineer,Startup,Retail,Australia,Sydney,Hybrid,Entry,0,52828,88375,Full-time,2023,Small,70601.5,35547,Junior,0,0,3
ZTKKFZZGNI92,Machine Learning Engineer,MNC,Tech,Australia,Brisbane,Hybrid,Mid,2,95912,123154,Full-time,2024,Medium,109533.0,27242,Junior,0,1,2
5COZROOUELCQ,Applied Scientist,MNC,Finance,UK,London,Onsite,Senior,5,154384,173065,Full-time,2025,Large,163724.5,18681,Experienced,0,1,1
S53SKF7I8SKC,Machine Learning Engineer,Research Lab,Education,India,Remote,Remote,Mid,2,94496,109101,Full-time,2025,Medium,101798.5,14605,Junior,1,0,1
XVUGW6M7B5C8,Applied Scientist,MNC,Finance,Canada,Toronto,Onsite,Senior,5,152565,173747,Full-time,2023,Large,163156.0,21182,Experienced,0,1,3
6TXKI3OQYFOQ,AI Researcher,Research Lab,Finance,Australia,Remote,Remote,Mid,2,95121,128539,Full-time,2022,Large,111830.0,33418,Junior,1,1,4
SDIEQFB85P86,AI Researcher,Research Lab,Healthcare,Germany,Munich,Hybrid,Mid,2,93110,110221,Full-time,2023,Large,101665.5,17111,Junior,0,0,3
A8S8HMBR5XQT,Data Scientist,MNC,Finance,UK,Manchester,Hybrid,Mid,2,104458,113666,Full-time,2025,Medium,109062.0,9208,Junior,0,1,1
BUNKNQT3WVED,AI Researcher,MNC,Education,UK,London,Hybrid,Mid,2,95990,129738,Full-time,2021,Small,112864.0,33748,Junior,0,1,5
BBZ2SF6F7LOW,AI Researcher,Research Lab,Healthcare,Canada,Vancouver,Onsite,Senior,5,148311,171702,Full-time,2024,Medium,160006.5,23391,Experienced,0,1,2
3NY9V20YAR82,Applied Scientist,Research Lab,Finance,Australia,Melbourne,Onsite,Mid,2,101819,106682,Full-time,2024,Medium,104250.5,4863,Junior,0,0,2
FYB8DALFYO17,MLOps Engineer,Research Lab,Tech,India,Delhi,Onsite,Mid,2,101563,109524,Full-time,2024,Small,105543.5,7961,Junior,0,0,2
SLG6MM1ZXYVG,Machine Learning Engineer,MNC,Education,Canada,Montreal,Hybrid,Mid,2,94890,112368,Full-time,2022,Medium,103629.0,17478,Junior,0,0,4
ZLM72JEYN938,Machine Learning Engineer,MNC,Tech,Australia,Remote,Remote,Senior,5,144712,178400,Full-time,2020,Medium,161556.0,33688,Experienced,1,1,6
RHT7ZEWVIYTW,Data Scientist,Startup,Retail,UK,Manchester,Onsite,Senior,5,145411,178506,Full-time,2023,Small,161958.5,33095,Experienced,0,1,3
89FX5RX1KKC1,MLOps Engineer,Research Lab,Finance,Australia,Remote,Remote,Entry,0,58767,89205,Full-time,2025,Small,73986.0,30438,Junior,1,0,1
9OR7875AUD9K,MLOps Engineer,Research Lab,Education,India,Hyderabad,Hybrid,Entry,0,58092,69397,Full-time,2026,Large,63744.5,11305,Junior,0,0,0
L0XZAMKYGVWO,Data Analyst,Research Lab,Healthcare,UK,London,Hybrid,Entry,0,51421,78134,Full-time,2025,Small,64777.5,26713,Junior,0,0,1
LIJI18K0AXYC,Data Scientist,MNC,Healthcare,India,Remote,Remote,Mid,2,92616,118284,Full-time,2025,Large,105450.0,25668,Junior,1,0,1
W7NH8RQ9NZ61,MLOps Engineer,Startup,Finance,Australia,Brisbane,Hybrid,Entry,0,61146,89731,Full-time,2024,Small,75438.5,28585,Junior,0,0,2
N7E36HTF4PYZ,Data Analyst,Startup,Education,Canada,Montreal,Hybrid,Senior,5,147298,156823,Full-time,2023,Small,152060.5,9525,Experienced,0,1,3
CQ30O30UBMC9,Data Scientist,MNC,Tech,Canada,Vancouver,Hybrid,Senior,5,144703,168397,Full-time,2021,Small,156550.0,23694,Experienced,0,1,5
N6Q7NC85E4E9,Data Analyst,Research Lab,Finance,Australia,Brisbane,Onsite,Mid,2,101925,112297,Full-time,2026,Small,107111.0,10372,Junior,0,0,0
ZPNIQFG51BXW,Data Scientist,Startup,Finance,USA,Seattle,Hybrid,Senior,5,141102,158306,Full-time,2024,Small,149704.0,17204,Experienced,0,1,2
5IBPT11F9I6U,Applied Scientist,Research Lab,Healthcare,UK,Birmingham,Onsite,Senior,5,143881,164888,Full-time,2021,Large,154384.5,21007,Experienced,0,1,5
KC856WPR97Y2,AI Researcher,Research Lab,Retail,Canada,Remote,Remote,Mid,2,96688,109889,Full-time,2022,Medium,103288.5,13201,Junior,1,0,4
4KZ36U8UEIHX,Data Analyst,MNC,Tech,India,Chennai,Onsite,Entry,0,58775,88743,Full-time,2026,Small,73759.0,29968,Junior,0,0,0
VBC2VYHH6K6H,Machine Learning Engineer,Research Lab,Tech,USA,Seattle,Hybrid,Senior,5,152236,179717,Full-time,2023,Small,165976.5,27481,Experienced,0,1,3
OILKQXLM5Q20,AI Researcher,Startup,Healthcare,Australia,Brisbane,Onsite,Entry,0,55126,78563,Full-time,2020,Large,66844.5,23437,Junior,0,0,6
J7UPFLN4RXYJ,Data Analyst,Research Lab,Retail,India,Hyderabad,Onsite,Entry,0,57550,70512,Full-time,2025,Medium,64031.0,12962,Junior,0,0,1
TG698S4C3BAE,MLOps Engineer,Startup,Tech,India,Remote,Remote,Senior,5,151586,159948,Full-time,2020,Small,155767.0,8362,Experienced,1,1,6
WYWRRATATJ9A,MLOps Engineer,Research Lab,Retail,Canada,Vancouver,Hybrid,Entry,0,63208,70874,Full-time,2020,Small,67041.0,7666,Junior,0,0,6
GS3JONOU9IY4,MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,Entry,0,51531,78280,Full-time,2023,Medium,64905.5,26749,Junior,1,0,3
AGRP2U4DTBH5,Applied Scientist,MNC,Healthcare,Canada,Toronto,Hybrid,Senior,5,140762,157436,Full-time,2025,Medium,149099.0,16674,Experienced,0,1,1
G4AHF337KUU4,MLOps Engineer,Research Lab,Healthcare,Canada,Montreal,Onsite,Entry,0,56288,89759,Full-time,2025,Small,73023.5,33471,Junior,0,0,1
0MDICVWV8LW2,Data Analyst,MNC,Finance,Australia,Sydney,Onsite,Senior,5,145829,173121,Full-time,2023,Medium,159475.0,27292,Experienced,0,1,3
N1KICJN2FOMD,AI Researcher,MNC,Healthcare,India,Delhi,Onsite,Senior,5,152473,163839,Full-time,2020,Small,158156.0,11366,Experienced,0,1,6
QTOAMDVLNKND,Applied Scientist,Startup,Education,USA,Remote,Remote,Mid,2,98537,110556,Full-time,2025,Medium,104546.5,12019,Junior,1,0,1
KRCPPRCJIWVH,Data Scientist,Startup,Healthcare,India,Remote,Remote,Mid,2,90110,117966,Full-time,2022,Large,104038.0,27856,Junior,1,0,4
P3XVKVZRGOL0,MLOps Engineer,MNC,Education,UK,Manchester,Hybrid,Mid,2,102811,112943,Full-time,2022,Medium,107877.0,10132,Junior,0,1,4
7H9G1A07H23C,Data Analyst,Research Lab,Retail,Germany,Hamburg,Hybrid,Entry,0,52280,85753,Full-time,2022,Small,69016.5,33473,Junior,0,0,4
PNQVUT75PB8Z,Applied Scientist,Research Lab,Tech,Germany,Munich,Onsite,Senior,5,141791,163134,Full-time,2025,Large,152462.5,21343,Experienced,0,1,1
WUXX8L2DDH0U,MLOps Engineer,Research Lab,Finance,Germany,Remote,Remote,Senior,5,147303,167259,Full-time,2023,Medium,157281.0,19956,Experienced,1,1,3
F9RK7D30MM2S,AI Researcher,MNC,Tech,Australia,Brisbane,Onsite,Senior,5,147178,178658,Full-time,2025,Medium,162918.0,31480,Experienced,0,1,1
BZAMD270STLP,Data Analyst,Startup,Retail,Germany,Remote,Remote,Mid,2,100317,111044,Full-time,2021,Large,105680.5,10727,Junior,1,0,5
05QPAHKZ2U2T,AI Researcher,MNC,Finance,Australia,Melbourne,Hybrid,Entry,0,57496,68734,Full-time,2022,Large,63115.0,11238,Junior,0,0,4
VWVM4W3ZKWDE,Data Scientist,Startup,Healthcare,UK,Birmingham,Onsite,Mid,2,91916,110998,Full-time,2022,Large,101457.0,19082,Junior,0,0,4
VUPRT77GGKG4,Applied Scientist,Startup,Healthcare,India,Chennai,Onsite,Mid,2,90157,120879,Full-time,2021,Small,105518.0,30722,Junior,0,0,5
RYO4RCB1KJTG,Data Analyst,Research Lab,Retail,UK,Birmingham,Onsite,Senior,5,149006,171738,Full-time,2020,Large,160372.0,22732,Experienced,0,1,6
T11PHP0XI5BJ,Data Scientist,MNC,Tech,USA,Boston,Hybrid,Mid,2,102707,112764,Full-time,2021,Large,107735.5,10057,Junior,0,1,5
VPW232UTVG9K,Applied Scientist,MNC,Education,Canada,Vancouver,Onsite,Senior,5,154748,177259,Full-time,2026,Small,166003.5,22511,Experienced,0,1,0
5E5IZ31YRUJO,Data Analyst,Startup,Tech,India,Bangalore,Hybrid,Mid,2,96600,121895,Full-time,2025,Medium,109247.5,25295,Junior,0,1,1
LA100QXMCTHP,Machine Learning Engineer,MNC,Healthcare,Australia,Melbourne,Hybrid,Mid,2,95289,114292,Full-time,2022,Large,104790.5,19003,Junior,0,0,4
4261BW4A7FQ9,Data Analyst,Startup,Finance,Canada,Remote,Remote,Senior,5,154453,176299,Full-time,2022,Small,165376.0,21846,Experienced,1,1,4
MCXXBW01PDDH,Data Scientist,Startup,Education,Germany,Remote,Remote,Senior,5,143705,172021,Full-time,2025,Medium,157863.0,28316,Experienced,1,1,1
ME4YRID3DNKN,Machine Learning Engineer,Research Lab,Finance,USA,Remote,Remote,Senior,5,141120,172383,Full-time,2024,Small,156751.5,31263,Experienced,1,1,2
MH07WPH6FE0M,Data Analyst,MNC,Finance,Canada,Toronto,Onsite,Mid,2,94059,114075,Full-time,2025,Small,104067.0,20016,Junior,0,0,1
ZK7A45HVGOX2,Machine Learning Engineer,MNC,Retail,India,Delhi,Onsite,Senior,5,141847,162899,Full-time,2023,Large,152373.0,21052,Experienced,0,1,3
5AMLN4PTGQ9C,Applied Scientist,Startup,Tech,Canada,Remote,Remote,Senior,5,144295,162069,Full-time,2020,Small,153182.0,17774,Experienced,1,1,6
Z1POXTFDC79F,AI Researcher,MNC,Education,UK,Manchester,Onsite,Senior,5,150392,176293,Full-time,2025,Large,163342.5,25901,Experienced,0,1,1
8II7EWBXXGAE,Data Scientist,Startup,Retail,USA,Seattle,Hybrid,Senior,5,145680,172137,Full-time,2024,Large,158908.5,26457,Experienced,0,1,2
E2J51B3JCZUC,Data Analyst,Research Lab,Healthcare,Germany,Remote,Remote,Mid,2,90908,121371,Full-time,2026,Large,106139.5,30463,Junior,1,0,0
16YE0A4ABN7G,Data Scientist,Research Lab,Retail,India,Hyderabad,Hybrid,Mid,2,93678,115544,Full-time,2021,Medium,104611.0,21866,Junior,0,0,5
UEYBISBO551L,Data Scientist,Research Lab,Retail,Australia,Melbourne,Hybrid,Entry,0,50130,77088,Full-time,2021,Medium,63609.0,26958,Junior,0,0,5
IN8910T2F7AT,MLOps Engineer,Research Lab,Tech,Canada,Montreal,Hybrid,Senior,5,145488,155047,Full-time,2026,Large,150267.5,9559,Experienced,0,1,0
DTIRC9ZD76SZ,AI Researcher,MNC,Tech,UK,Birmingham,Onsite,Mid,2,99515,108131,Full-time,2024,Small,103823.0,8616,Junior,0,0,2
UP8IJL2Z0LJC,Machine Learning Engineer,Startup,Education,Australia,Sydney,Hybrid,Senior,5,141785,160092,Full-time,2020,Small,150938.5,18307,Experienced,0,1,6
EM1QQ4D3KZVH,AI Researcher,Startup,Tech,UK,Manchester,Hybrid,Mid,2,101651,113133,Full-time,2022,Medium,107392.0,11482,Junior,0,0,4
K3G84UTDD2EC,Machine Learning Engineer,Startup,Finance,Canada,Remote,Remote,Senior,5,153495,168126,Full-time,2022,Large,160810.5,14631,Experienced,1,1,4
V7C9HX3D43E7,Data Scientist,Startup,Education,Australia,Sydney,Onsite,Senior,5,147096,178738,Full-time,2023,Medium,162917.0,31642,Experienced,0,1,3
M6JQFWWXR5RD,Data Analyst,Startup,Retail,USA,Seattle,Hybrid,Entry,0,53267,86058,Full-time,2026,Large,69662.5,32791,Junior,0,0,0
92MTR6SNGLH6,AI Researcher,Startup,Retail,India,Delhi,Onsite,Entry,0,58674,76712,Full-time,2026,Large,67693.0,18038,Junior,0,0,0
IIT2018U9N79,Machine Learning Engineer,Startup,Finance,India,Remote,Remote,Entry,0,59707,75420,Full-time,2026,Large,67563.5,15713,Junior,1,0,0
ZMUF8438TGBC,Applied Scientist,Startup,Tech,Australia,Brisbane,Hybrid,Entry,0,58625,80662,Full-time,2020,Medium,69643.5,22037,Junior,0,0,6
MG25CFZFDSNC,MLOps Engineer,Research Lab,Retail,Canada,Remote,Remote,Entry,0,59601,68310,Full-time,2022,Medium,63955.5,8709,Junior,1,0,4
0PXRLZU6WMX3,Data Analyst,MNC,Healthcare,Germany,Remote,Remote,Entry,0,52086,70823,Full-time,2025,Small,61454.5,18737,Junior,1,0,1
BV78HU7F0I9G,Data Scientist,Research Lab,Healthcare,Australia,Melbourne,Onsite,Senior,5,147317,155373,Full-time,2022,Small,151345.0,8056,Experienced,0,1,4
JDAN085RNTDR,Applied Scientist,Research Lab,Finance,India,Bangalore,Onsite,Mid,2,92664,119787,Full-time,2020,Small,106225.5,27123,Junior,0,0,6
JDM5FC79M96Z,Data Analyst,Research Lab,Finance,Germany,Remote,Remote,Mid,2,99950,119227,Full-time,2021,Small,109588.5,19277,Junior,1,1,5
OT7TXKDOTRBA,Data Scientist,MNC,Education,USA,San Francisco,Hybrid,Entry,0,57869,71542,Full-time,2020,Small,64705.5,13673,Junior,0,0,6
KC4LORXDTG5N,Data Analyst,Startup,Healthcare,India,Remote,Remote,Senior,5,147204,170239,Full-time,2022,Small,158721.5,23035,Experienced,1,1,4
1YDMT8VT43PT,Data Analyst,Research Lab,Finance,Germany,Berlin,Onsite,Entry,0,57803,74792,Full-time,2020,Medium,66297.5,16989,Junior,0,0,6
USU9F8Q8GHGB,Data Scientist,Research Lab,Retail,Australia,Remote,Remote,Senior,5,143308,175552,Full-time,2021,Large,159430.0,32244,Experienced,1,1,5
